method,target_number,guesses
Binary Search,37,3
Binary Search,77,7
Binary Search,94,4
Binary Search,99,6
Binary Search,35,6
Binary Search,65,5
Binary Search,13,6
Binary Search,46,5
Binary Search,88,3
Binary Search,58,7
Binary Search,51,6
Binary Search,22,7
Binary Search,66,6
Binary Search,26,6
Binary Search,58,7
Binary Search,31,4
Binary Search,93,7
Binary Search,58,7
Binary Search,84,5
Binary Search,4,6
Binary Search,65,5
Binary Search,67,7
Binary Search,71,5
Binary Search,65,5
Binary Search,38,6
Binary Search,98,7
Binary Search,25,2
Binary Search,93,7
Binary Search,41,6
Binary Search,8,7
Binary Search,28,5
Binary Search,59,5
Binary Search,29,6
Binary Search,27,7
Binary Search,99,6
Binary Search,93,7
Binary Search,75,2
Binary Search,41,6
Binary Search,37,3
Binary Search,96,7
Binary Search,2,7
Binary Search,24,7
Binary Search,90,7
Binary Search,39,7
Binary Search,15,5
Binary Search,82,6
Binary Search,33,7
Binary Search,99,6
Binary Search,74,7
Binary Search,53,5
Binary Search,36,7
Binary Search,94,4
Binary Search,54,6
Binary Search,84,5
Binary Search,32,6
Binary Search,59,5
Binary Search,55,7
Binary Search,65,5
Binary Search,35,6
Binary Search,35,6
Binary Search,26,6
Binary Search,73,6
Binary Search,57,6
Binary Search,31,4
Binary Search,30,7
Binary Search,85,7
Binary Search,36,7
Binary Search,73,6
Binary Search,5,7
Binary Search,36,7
Binary Search,68,4
Binary Search,30,7
Binary Search,54,6
Binary Search,7,6
Binary Search,53,5
Binary Search,97,5
Binary Search,48,6
Binary Search,32,6
Binary Search,39,7
Binary Search,6,4
Binary Search,63,6
Binary Search,60,6
Binary Search,59,5
Binary Search,39,7
Binary Search,46,5
Binary Search,15,5
Binary Search,76,6
Binary Search,58,7
Binary Search,3,5
Binary Search,62,3
Binary Search,31,4
Binary Search,45,7
Binary Search,5,7
Binary Search,95,6
Binary Search,50,1
Binary Search,95,6
Binary Search,96,7
Binary Search,57,6
Binary Search,66,6
Binary Search,20,7
Binary Search,59,5
Binary Search,64,7
Binary Search,16,6
Binary Search,81,4
Binary Search,58,7
Binary Search,11,7
Binary Search,66,6
Binary Search,76,6
Binary Search,48,6
Binary Search,79,6
Binary Search,34,5
Binary Search,81,4
Binary Search,93,7
Binary Search,44,6
Binary Search,48,6
Binary Search,60,6
Binary Search,34,5
Binary Search,18,4
Binary Search,59,5
Binary Search,53,5
Binary Search,17,7
Binary Search,33,7
Binary Search,52,7
Binary Search,68,4
Binary Search,15,5
Binary Search,83,7
Binary Search,64,7
Binary Search,72,7
Binary Search,81,4
Binary Search,94,4
Binary Search,88,3
Binary Search,64,7
Binary Search,46,5
Binary Search,99,6
Binary Search,94,4
Binary Search,92,6
Binary Search,65,5
Binary Search,39,7
Binary Search,21,5
Binary Search,78,5
Binary Search,64,7
Binary Search,33,7
Binary Search,61,7
Binary Search,48,6
Binary Search,46,5
Binary Search,14,7
Binary Search,95,6
Binary Search,7,6
Binary Search,31,4
Binary Search,36,7
Binary Search,65,5
Binary Search,33,7
Binary Search,14,7
Binary Search,79,6
Binary Search,24,7
Binary Search,48,6
Binary Search,34,5
Binary Search,64,7
Binary Search,8,7
Binary Search,55,7
Binary Search,61,7
Binary Search,90,7
Binary Search,73,6
Binary Search,27,7
Binary Search,22,7
Binary Search,58,7
Binary Search,31,4
Binary Search,17,7
Binary Search,7,6
Binary Search,90,7
Binary Search,4,6
Binary Search,93,7
Binary Search,10,6
Binary Search,56,4
Binary Search,17,7
Binary Search,38,6
Binary Search,36,7
Binary Search,72,7
Binary Search,83,7
Binary Search,88,3
Binary Search,56,4
Binary Search,16,6
Binary Search,99,6
Binary Search,14,7
Binary Search,1,6
Binary Search,97,5
Binary Search,28,5
Binary Search,19,6
Binary Search,78,5
Binary Search,18,4
Binary Search,18,4
Binary Search,65,5
Binary Search,72,7
Binary Search,12,3
Binary Search,35,6
Binary Search,45,7
Binary Search,36,7
Binary Search,72,7
Binary Search,82,6
Binary Search,83,7
Binary Search,57,6
Binary Search,9,5
Binary Search,70,7
Binary Search,9,5
Binary Search,18,4
Binary Search,31,4
Binary Search,44,6
Binary Search,99,6
Binary Search,37,3
Binary Search,99,6
Binary Search,34,5
Binary Search,61,7
Binary Search,81,4
Binary Search,90,7
Binary Search,2,7
Binary Search,14,7
Binary Search,26,6
Binary Search,80,7
Binary Search,32,6
Binary Search,95,6
Binary Search,98,7
Binary Search,93,7
Binary Search,5,7
Binary Search,44,6
Binary Search,33,7
Binary Search,29,6
Binary Search,90,7
Binary Search,47,7
Binary Search,32,6
Binary Search,54,6
Binary Search,34,5
Binary Search,19,6
Binary Search,74,7
Binary Search,73,6
Binary Search,19,6
Binary Search,12,3
Binary Search,34,5
Binary Search,45,7
Binary Search,93,7
Binary Search,19,6
Binary Search,66,6
Binary Search,31,4
Binary Search,99,6
Binary Search,45,7
Binary Search,42,7
Binary Search,25,2
Binary Search,11,7
Binary Search,11,7
Binary Search,72,7
Binary Search,28,5
Binary Search,1,6
Binary Search,23,6
Binary Search,7,6
Binary Search,56,4
Binary Search,54,6
Binary Search,22,7
Binary Search,41,6
Binary Search,27,7
Binary Search,82,6
Binary Search,53,5
Binary Search,43,4
Binary Search,70,7
Binary Search,27,7
Binary Search,55,7
Binary Search,42,7
Binary Search,1,6
Binary Search,88,3
Binary Search,66,6
Binary Search,32,6
Binary Search,12,3
Binary Search,32,6
Binary Search,26,6
Binary Search,31,4
Binary Search,45,7
Binary Search,42,7
Binary Search,63,6
Binary Search,64,7
Binary Search,30,7
Binary Search,13,6
Binary Search,52,7
Binary Search,76,6
Binary Search,13,6
Binary Search,74,7
Binary Search,84,5
Binary Search,29,6
Binary Search,97,5
Binary Search,14,7
Binary Search,96,7
Binary Search,99,6
Binary Search,13,6
Binary Search,81,4
Binary Search,94,4
Binary Search,68,4
Binary Search,27,7
Binary Search,20,7
Binary Search,78,5
Binary Search,48,6
Binary Search,14,7
Binary Search,24,7
Binary Search,81,4
Binary Search,44,6
Binary Search,35,6
Binary Search,63,6
Binary Search,75,2
Binary Search,31,4
Binary Search,99,6
Binary Search,54,6
Binary Search,15,5
Binary Search,3,5
Binary Search,8,7
Binary Search,1,6
Binary Search,59,5
Binary Search,39,7
Binary Search,82,6
Binary Search,29,6
Binary Search,96,7
Binary Search,74,7
Binary Search,2,7
Binary Search,4,6
Binary Search,77,7
Binary Search,17,7
Binary Search,63,6
Binary Search,78,5
Binary Search,6,4
Binary Search,48,6
Binary Search,60,6
Binary Search,92,6
Binary Search,46,5
Binary Search,55,7
Binary Search,72,7
Binary Search,48,6
Binary Search,41,6
Binary Search,56,4
Binary Search,1,6
Binary Search,74,7
Binary Search,74,7
Binary Search,25,2
Binary Search,68,4
Binary Search,87,7
Binary Search,3,5
Binary Search,54,6
Binary Search,72,7
Binary Search,8,7
Binary Search,71,5
Binary Search,90,7
Binary Search,13,6
Binary Search,63,6
Binary Search,80,7
Binary Search,6,4
Binary Search,11,7
Binary Search,24,7
Binary Search,64,7
Binary Search,98,7
Binary Search,75,2
Binary Search,76,6
Binary Search,68,4
Binary Search,71,5
Binary Search,13,6
Binary Search,38,6
Binary Search,9,5
Binary Search,57,6
Binary Search,84,5
Binary Search,1,6
Binary Search,25,2
Binary Search,30,7
Binary Search,79,6
Binary Search,14,7
Binary Search,5,7
Binary Search,54,6
Binary Search,59,5
Binary Search,33,7
Binary Search,39,7
Binary Search,82,6
Binary Search,7,6
Binary Search,8,7
Binary Search,71,5
Binary Search,78,5
Binary Search,98,7
Binary Search,78,5
Binary Search,63,6
Binary Search,69,6
Binary Search,55,7
Binary Search,38,6
Binary Search,48,6
Binary Search,67,7
Binary Search,42,7
Binary Search,21,5
Binary Search,83,7
Binary Search,45,7
Binary Search,81,4
Binary Search,54,6
Binary Search,77,7
Binary Search,68,4
Binary Search,53,5
Binary Search,53,5
Binary Search,3,5
Binary Search,87,7
Binary Search,95,6
Binary Search,43,4
Binary Search,53,5
Binary Search,87,7
Binary Search,73,6
Binary Search,46,5
Binary Search,42,7
Binary Search,89,6
Binary Search,31,4
Binary Search,11,7
Binary Search,64,7
Binary Search,94,4
Binary Search,80,7
Binary Search,35,6
Binary Search,43,4
Binary Search,83,7
Binary Search,90,7
Binary Search,99,6
Binary Search,99,6
Binary Search,62,3
Binary Search,49,7
Binary Search,10,6
Binary Search,13,6
Binary Search,42,7
Binary Search,43,4
Binary Search,76,6
Binary Search,95,6
Binary Search,33,7
Binary Search,53,5
Binary Search,5,7
Binary Search,15,5
Binary Search,57,6
Binary Search,69,6
Binary Search,34,5
Binary Search,57,6
Binary Search,81,4
Binary Search,44,6
Binary Search,16,6
Binary Search,68,4
Binary Search,50,1
Binary Search,62,3
Binary Search,23,6
Binary Search,41,6
Binary Search,6,4
Binary Search,17,7
Binary Search,25,2
Binary Search,39,7
Binary Search,4,6
Binary Search,48,6
Binary Search,93,7
Binary Search,35,6
Binary Search,8,7
Binary Search,85,7
Binary Search,30,7
Binary Search,2,7
Binary Search,71,5
Binary Search,92,6
Binary Search,20,7
Binary Search,37,3
Binary Search,18,4
Binary Search,15,5
Binary Search,69,6
Binary Search,90,7
Binary Search,22,7
Binary Search,100,7
Binary Search,29,6
Binary Search,46,5
Binary Search,6,4
Binary Search,32,6
Binary Search,4,6
Binary Search,28,5
Binary Search,44,6
Binary Search,37,3
Binary Search,91,5
Binary Search,39,7
Binary Search,38,6
Binary Search,70,7
Binary Search,70,7
Binary Search,72,7
Binary Search,42,7
Binary Search,62,3
Binary Search,72,7
Binary Search,71,5
Binary Search,85,7
Binary Search,48,6
Binary Search,8,7
Binary Search,84,5
Binary Search,36,7
Binary Search,45,7
Binary Search,11,7
Binary Search,35,6
Binary Search,9,5
Binary Search,99,6
Binary Search,40,5
Binary Search,65,5
Binary Search,37,3
Binary Search,90,7
Binary Search,24,7
Binary Search,8,7
Binary Search,60,6
Binary Search,59,5
Binary Search,56,4
Binary Search,19,6
Binary Search,56,4
Binary Search,92,6
Binary Search,72,7
Binary Search,41,6
Binary Search,98,7
Binary Search,87,7
Binary Search,1,6
Binary Search,47,7
Binary Search,65,5
Binary Search,64,7
Binary Search,26,6
Binary Search,50,1
Binary Search,61,7
Binary Search,60,6
Binary Search,39,7
Binary Search,77,7
Binary Search,4,6
Binary Search,6,4
Binary Search,5,7
Binary Search,77,7
Binary Search,59,5
Binary Search,61,7
Binary Search,55,7
Binary Search,9,5
Binary Search,41,6
Binary Search,25,2
Binary Search,3,5
Binary Search,53,5
Binary Search,3,5
Binary Search,8,7
Binary Search,6,4
Binary Search,39,7
Binary Search,57,6
Binary Search,53,5
Binary Search,52,7
Binary Search,100,7
Binary Search,39,7
Binary Search,12,3
Binary Search,97,5
Binary Search,2,7
Binary Search,95,6
Binary Search,92,6
Binary Search,93,7
Binary Search,68,4
Binary Search,74,7
Binary Search,85,7
Binary Search,4,6
Binary Search,82,6
Binary Search,20,7
Binary Search,66,6
Binary Search,75,2
Binary Search,16,6
Binary Search,32,6
Binary Search,15,5
Binary Search,35,6
Binary Search,81,4
Binary Search,9,5
Binary Search,20,7
Binary Search,44,6
Binary Search,87,7
Binary Search,60,6
Binary Search,88,3
Binary Search,33,7
Binary Search,1,6
Binary Search,3,5
Binary Search,100,7
Binary Search,92,6
Binary Search,43,4
Binary Search,82,6
Binary Search,58,7
Binary Search,51,6
Binary Search,70,7
Binary Search,57,6
Binary Search,63,6
Binary Search,33,7
Binary Search,33,7
Binary Search,78,5
Binary Search,89,6
Binary Search,22,7
Binary Search,49,7
Binary Search,16,6
Binary Search,96,7
Binary Search,83,7
Binary Search,68,4
Binary Search,2,7
Binary Search,93,7
Binary Search,72,7
Binary Search,55,7
Binary Search,3,5
Binary Search,84,5
Binary Search,8,7
Binary Search,63,6
Binary Search,20,7
Binary Search,28,5
Binary Search,57,6
Binary Search,25,2
Binary Search,34,5
Binary Search,9,5
Binary Search,89,6
Binary Search,7,6
Binary Search,25,2
Binary Search,64,7
Binary Search,27,7
Binary Search,91,5
Binary Search,94,4
Binary Search,34,5
Binary Search,58,7
Binary Search,78,5
Binary Search,9,5
Binary Search,11,7
Binary Search,62,3
Binary Search,53,5
Binary Search,40,5
Binary Search,8,7
Binary Search,12,3
Binary Search,47,7
Binary Search,53,5
Binary Search,45,7
Binary Search,25,2
Binary Search,9,5
Binary Search,56,4
Binary Search,31,4
Binary Search,83,7
Binary Search,49,7
Binary Search,95,6
Binary Search,37,3
Binary Search,16,6
Binary Search,20,7
Binary Search,38,6
Binary Search,6,4
Binary Search,68,4
Binary Search,20,7
Binary Search,7,6
Binary Search,54,6
Binary Search,29,6
Binary Search,68,4
Binary Search,43,4
Binary Search,1,6
Binary Search,31,4
Binary Search,22,7
Binary Search,45,7
Binary Search,58,7
Binary Search,30,7
Binary Search,46,5
Binary Search,1,6
Binary Search,89,6
Binary Search,3,5
Binary Search,60,6
Binary Search,90,7
Binary Search,12,3
Binary Search,74,7
Binary Search,55,7
Binary Search,77,7
Binary Search,44,6
Binary Search,51,6
Binary Search,76,6
Binary Search,27,7
Binary Search,70,7
Binary Search,63,6
Binary Search,84,5
Binary Search,95,6
Binary Search,16,6
Binary Search,41,6
Binary Search,25,2
Binary Search,39,7
Binary Search,1,6
Binary Search,24,7
Binary Search,95,6
Binary Search,89,6
Binary Search,95,6
Binary Search,4,6
Binary Search,48,6
Binary Search,39,7
Binary Search,27,7
Binary Search,87,7
Binary Search,96,7
Binary Search,100,7
Binary Search,42,7
Binary Search,7,6
Binary Search,90,7
Binary Search,78,5
Binary Search,97,5
Binary Search,49,7
Binary Search,74,7
Binary Search,49,7
Binary Search,87,7
Binary Search,90,7
Binary Search,51,6
Binary Search,64,7
Binary Search,51,6
Binary Search,76,6
Binary Search,87,7
Binary Search,41,6
Binary Search,70,7
Binary Search,27,7
Binary Search,87,7
Binary Search,12,3
Binary Search,76,6
Binary Search,55,7
Binary Search,8,7
Binary Search,16,6
Binary Search,89,6
Binary Search,85,7
Binary Search,35,6
Binary Search,41,6
Binary Search,51,6
Binary Search,34,5
Binary Search,61,7
Binary Search,74,7
Binary Search,52,7
Binary Search,40,5
Binary Search,91,5
Binary Search,18,4
Binary Search,44,6
Binary Search,20,7
Binary Search,68,4
Binary Search,19,6
Binary Search,3,5
Binary Search,30,7
Binary Search,39,7
Binary Search,12,3
Binary Search,82,6
Binary Search,15,5
Binary Search,67,7
Binary Search,80,7
Binary Search,41,6
Binary Search,10,6
Binary Search,39,7
Binary Search,76,6
Binary Search,56,4
Binary Search,29,6
Binary Search,57,6
Binary Search,22,7
Binary Search,62,3
Binary Search,76,6
Binary Search,96,7
Binary Search,71,5
Binary Search,14,7
Binary Search,53,5
Binary Search,26,6
Binary Search,73,6
Binary Search,5,7
Binary Search,25,2
Binary Search,77,7
Binary Search,25,2
Binary Search,95,6
Binary Search,91,5
Binary Search,48,6
Binary Search,17,7
Binary Search,18,4
Binary Search,31,4
Binary Search,21,5
Binary Search,96,7
Binary Search,49,7
Binary Search,71,5
Binary Search,50,1
Binary Search,58,7
Binary Search,63,6
Binary Search,44,6
Binary Search,76,6
Binary Search,10,6
Binary Search,75,2
Binary Search,66,6
Binary Search,32,6
Binary Search,37,3
Binary Search,25,2
Binary Search,58,7
Binary Search,32,6
Binary Search,1,6
Binary Search,35,6
Binary Search,30,7
Binary Search,45,7
Binary Search,29,6
Binary Search,41,6
Binary Search,65,5
Binary Search,30,7
Binary Search,53,5
Binary Search,47,7
Binary Search,97,5
Binary Search,51,6
Binary Search,53,5
Binary Search,72,7
Binary Search,29,6
Binary Search,31,4
Binary Search,22,7
Binary Search,93,7
Binary Search,54,6
Binary Search,97,5
Binary Search,14,7
Binary Search,37,3
Binary Search,13,6
Binary Search,23,6
Binary Search,21,5
Binary Search,43,4
Binary Search,29,6
Binary Search,75,2
Binary Search,81,4
Binary Search,60,6
Binary Search,66,6
Binary Search,67,7
Binary Search,39,7
Binary Search,2,7
Binary Search,87,7
Binary Search,1,6
Binary Search,73,6
Binary Search,58,7
Binary Search,74,7
Binary Search,87,7
Binary Search,47,7
Binary Search,54,6
Binary Search,55,7
Binary Search,6,4
Binary Search,59,5
Binary Search,24,7
Binary Search,85,7
Binary Search,62,3
Binary Search,42,7
Binary Search,81,4
Binary Search,47,7
Binary Search,5,7
Binary Search,34,5
Binary Search,25,2
Binary Search,11,7
Binary Search,10,6
Binary Search,74,7
Binary Search,78,5
Binary Search,10,6
Binary Search,53,5
Binary Search,56,4
Binary Search,49,7
Binary Search,35,6
Binary Search,76,6
Binary Search,8,7
Binary Search,23,6
Binary Search,74,7
Binary Search,57,6
Binary Search,71,5
Binary Search,46,5
Binary Search,1,6
Binary Search,36,7
Binary Search,94,4
Binary Search,17,7
Binary Search,79,6
Binary Search,91,5
Binary Search,40,5
Binary Search,45,7
Binary Search,45,7
Binary Search,92,6
Binary Search,79,6
Binary Search,15,5
Binary Search,27,7
Binary Search,85,7
Binary Search,78,5
Binary Search,88,3
Binary Search,92,6
Binary Search,83,7
Binary Search,59,5
Binary Search,59,5
Binary Search,9,5
Binary Search,28,5
Binary Search,44,6
Binary Search,73,6
Binary Search,41,6
Binary Search,21,5
Binary Search,81,4
Binary Search,24,7
Binary Search,90,7
Binary Search,47,7
Binary Search,57,6
Binary Search,71,5
Binary Search,80,7
Binary Search,65,5
Binary Search,53,5
Binary Search,58,7
Binary Search,8,7
Binary Search,85,7
Binary Search,13,6
Binary Search,22,7
Binary Search,3,5
Binary Search,85,7
Binary Search,14,7
Binary Search,12,3
Binary Search,73,6
Binary Search,66,6
Binary Search,94,4
Binary Search,35,6
Binary Search,31,4
Binary Search,77,7
Binary Search,95,6
Binary Search,72,7
Binary Search,51,6
Binary Search,49,7
Binary Search,94,4
Binary Search,95,6
Binary Search,39,7
Binary Search,18,4
Binary Search,82,6
Binary Search,68,4
Binary Search,49,7
Binary Search,66,6
Binary Search,3,5
Binary Search,5,7
Binary Search,84,5
Binary Search,46,5
Binary Search,3,5
Binary Search,63,6
Binary Search,73,6
Binary Search,49,7
Binary Search,62,3
Binary Search,66,6
Binary Search,63,6
Binary Search,51,6
Binary Search,17,7
Binary Search,79,6
Binary Search,2,7
Binary Search,87,7
Binary Search,13,6
Binary Search,59,5
Binary Search,58,7
Binary Search,43,4
Binary Search,1,6
Binary Search,8,7
Binary Search,29,6
Binary Search,68,4
Binary Search,23,6
Binary Search,83,7
Binary Search,18,4
Binary Search,70,7
Binary Search,71,5
Binary Search,46,5
Binary Search,53,5
Binary Search,76,6
Binary Search,6,4
Binary Search,100,7
Binary Search,58,7
Binary Search,21,5
Binary Search,23,6
Binary Search,89,6
Binary Search,40,5
Binary Search,38,6
Binary Search,57,6
Binary Search,98,7
Binary Search,20,7
Binary Search,65,5
Binary Search,41,6
Binary Search,92,6
Binary Search,16,6
Binary Search,60,6
Binary Search,6,4
Binary Search,48,6
Binary Search,93,7
Binary Search,75,2
Binary Search,69,6
Binary Search,10,6
Binary Search,76,6
Binary Search,75,2
Binary Search,4,6
Binary Search,51,6
Binary Search,2,7
Binary Search,91,5
Binary Search,6,4
Binary Search,12,3
Binary Search,21,5
Binary Search,77,7
Binary Search,53,5
Binary Search,23,6
Ternary Search,19,3
Ternary Search,50,7
Ternary Search,36,4
Ternary Search,96,9
Ternary Search,96,9
Ternary Search,43,5
Ternary Search,83,6
Ternary Search,44,6
Ternary Search,14,4
Ternary Search,38,5
Ternary Search,12,5
Ternary Search,23,7
Ternary Search,85,7
Ternary Search,20,6
Ternary Search,59,6
Ternary Search,89,7
Ternary Search,31,7
Ternary Search,72,6
Ternary Search,35,5
Ternary Search,75,7
Ternary Search,41,3
Ternary Search,69,8
Ternary Search,49,5
Ternary Search,13,6
Ternary Search,51,6
Ternary Search,44,6
Ternary Search,89,7
Ternary Search,62,6
Ternary Search,73,7
Ternary Search,54,8
Ternary Search,41,3
Ternary Search,63,7
Ternary Search,59,6
Ternary Search,94,9
Ternary Search,39,6
Ternary Search,2,5
Ternary Search,30,8
Ternary Search,47,6
Ternary Search,71,3
Ternary Search,85,7
Ternary Search,6,4
Ternary Search,4,3
Ternary Search,38,5
Ternary Search,76,6
Ternary Search,65,7
Ternary Search,100,11
Ternary Search,93,8
Ternary Search,26,7
Ternary Search,67,8
Ternary Search,78,7
Ternary Search,56,2
Ternary Search,48,7
Ternary Search,64,5
Ternary Search,42,6
Ternary Search,20,6
Ternary Search,82,7
Ternary Search,35,5
Ternary Search,64,5
Ternary Search,69,8
Ternary Search,98,9
Ternary Search,97,8
Ternary Search,36,4
Ternary Search,67,8
Ternary Search,46,4
Ternary Search,65,7
Ternary Search,78,7
Ternary Search,17,6
Ternary Search,5,5
Ternary Search,53,7
Ternary Search,21,5
Ternary Search,44,6
Ternary Search,33,9
Ternary Search,79,8
Ternary Search,75,7
Ternary Search,99,10
Ternary Search,64,5
Ternary Search,1,4
Ternary Search,50,7
Ternary Search,2,5
Ternary Search,89,7
Ternary Search,32,8
Ternary Search,88,5
Ternary Search,68,7
Ternary Search,65,7
Ternary Search,90,8
Ternary Search,21,5
Ternary Search,77,8
Ternary Search,51,6
Ternary Search,19,3
Ternary Search,54,8
Ternary Search,14,4
Ternary Search,68,7
Ternary Search,9,6
Ternary Search,65,7
Ternary Search,15,6
Ternary Search,8,5
Ternary Search,83,6
Ternary Search,43,5
Ternary Search,5,5
Ternary Search,57,6
Ternary Search,1,4
Ternary Search,70,9
Ternary Search,7,6
Ternary Search,8,5
Ternary Search,38,5
Ternary Search,61,4
Ternary Search,39,6
Ternary Search,11,2
Ternary Search,49,5
Ternary Search,43,5
Ternary Search,16,5
Ternary Search,14,4
Ternary Search,44,6
Ternary Search,91,9
Ternary Search,49,5
Ternary Search,15,6
Ternary Search,58,5
Ternary Search,27,5
Ternary Search,92,6
Ternary Search,64,5
Ternary Search,4,3
Ternary Search,45,7
Ternary Search,55,9
Ternary Search,30,8
Ternary Search,69,8
Ternary Search,55,9
Ternary Search,3,6
Ternary Search,49,5
Ternary Search,55,9
Ternary Search,82,7
Ternary Search,63,7
Ternary Search,67,8
Ternary Search,37,6
Ternary Search,68,7
Ternary Search,100,11
Ternary Search,5,5
Ternary Search,2,5
Ternary Search,74,5
Ternary Search,3,6
Ternary Search,38,5
Ternary Search,13,6
Ternary Search,69,8
Ternary Search,28,7
Ternary Search,51,6
Ternary Search,100,11
Ternary Search,99,10
Ternary Search,80,9
Ternary Search,30,8
Ternary Search,43,5
Ternary Search,34,1
Ternary Search,37,6
Ternary Search,96,9
Ternary Search,10,7
Ternary Search,15,6
Ternary Search,31,7
Ternary Search,98,9
Ternary Search,21,5
Ternary Search,59,6
Ternary Search,31,7
Ternary Search,70,9
Ternary Search,94,9
Ternary Search,87,9
Ternary Search,95,7
Ternary Search,43,5
Ternary Search,34,1
Ternary Search,34,1
Ternary Search,44,6
Ternary Search,100,11
Ternary Search,10,7
Ternary Search,85,7
Ternary Search,31,7
Ternary Search,39,6
Ternary Search,88,5
Ternary Search,42,6
Ternary Search,25,6
Ternary Search,11,2
Ternary Search,37,6
Ternary Search,40,7
Ternary Search,20,6
Ternary Search,51,6
Ternary Search,76,6
Ternary Search,36,4
Ternary Search,76,6
Ternary Search,45,7
Ternary Search,65,7
Ternary Search,3,6
Ternary Search,5,5
Ternary Search,46,4
Ternary Search,90,8
Ternary Search,43,5
Ternary Search,41,3
Ternary Search,55,9
Ternary Search,55,9
Ternary Search,9,6
Ternary Search,2,5
Ternary Search,68,7
Ternary Search,73,7
Ternary Search,51,6
Ternary Search,85,7
Ternary Search,53,7
Ternary Search,47,6
Ternary Search,18,7
Ternary Search,25,6
Ternary Search,47,6
Ternary Search,31,7
Ternary Search,77,8
Ternary Search,55,9
Ternary Search,9,6
Ternary Search,32,8
Ternary Search,51,6
Ternary Search,22,6
Ternary Search,6,4
Ternary Search,93,8
Ternary Search,68,7
Ternary Search,13,6
Ternary Search,44,6
Ternary Search,30,8
Ternary Search,52,8
Ternary Search,89,7
Ternary Search,49,5
Ternary Search,37,6
Ternary Search,10,7
Ternary Search,94,9
Ternary Search,48,7
Ternary Search,93,8
Ternary Search,73,7
Ternary Search,33,9
Ternary Search,23,7
Ternary Search,21,5
Ternary Search,71,3
Ternary Search,31,7
Ternary Search,64,5
Ternary Search,80,9
Ternary Search,18,7
Ternary Search,45,7
Ternary Search,99,10
Ternary Search,39,6
Ternary Search,27,5
Ternary Search,28,7
Ternary Search,55,9
Ternary Search,99,10
Ternary Search,99,10
Ternary Search,71,3
Ternary Search,64,5
Ternary Search,25,6
Ternary Search,1,4
Ternary Search,51,6
Ternary Search,51,6
Ternary Search,6,4
Ternary Search,65,7
Ternary Search,26,7
Ternary Search,91,9
Ternary Search,27,5
Ternary Search,62,6
Ternary Search,62,6
Ternary Search,38,5
Ternary Search,92,6
Ternary Search,94,9
Ternary Search,21,5
Ternary Search,98,9
Ternary Search,77,8
Ternary Search,3,6
Ternary Search,73,7
Ternary Search,41,3
Ternary Search,25,6
Ternary Search,26,7
Ternary Search,33,9
Ternary Search,42,6
Ternary Search,61,4
Ternary Search,31,7
Ternary Search,48,7
Ternary Search,22,6
Ternary Search,29,6
Ternary Search,39,6
Ternary Search,72,6
Ternary Search,83,6
Ternary Search,9,6
Ternary Search,32,8
Ternary Search,81,4
Ternary Search,1,4
Ternary Search,35,5
Ternary Search,66,6
Ternary Search,9,6
Ternary Search,77,8
Ternary Search,79,8
Ternary Search,32,8
Ternary Search,82,7
Ternary Search,4,3
Ternary Search,36,4
Ternary Search,85,7
Ternary Search,22,6
Ternary Search,23,7
Ternary Search,42,6
Ternary Search,100,11
Ternary Search,34,1
Ternary Search,50,7
Ternary Search,54,8
Ternary Search,19,3
Ternary Search,75,7
Ternary Search,51,6
Ternary Search,74,5
Ternary Search,58,5
Ternary Search,41,3
Ternary Search,34,1
Ternary Search,47,6
Ternary Search,11,2
Ternary Search,91,9
Ternary Search,88,5
Ternary Search,71,3
Ternary Search,21,5
Ternary Search,39,6
Ternary Search,33,9
Ternary Search,14,4
Ternary Search,23,7
Ternary Search,79,8
Ternary Search,28,7
Ternary Search,23,7
Ternary Search,90,8
Ternary Search,21,5
Ternary Search,90,8
Ternary Search,77,8
Ternary Search,88,5
Ternary Search,96,9
Ternary Search,59,6
Ternary Search,2,5
Ternary Search,64,5
Ternary Search,28,7
Ternary Search,10,7
Ternary Search,89,7
Ternary Search,71,3
Ternary Search,69,8
Ternary Search,12,5
Ternary Search,39,6
Ternary Search,79,8
Ternary Search,90,8
Ternary Search,66,6
Ternary Search,65,7
Ternary Search,31,7
Ternary Search,98,9
Ternary Search,39,6
Ternary Search,22,6
Ternary Search,98,9
Ternary Search,69,8
Ternary Search,44,6
Ternary Search,63,7
Ternary Search,12,5
Ternary Search,36,4
Ternary Search,62,6
Ternary Search,78,7
Ternary Search,64,5
Ternary Search,7,6
Ternary Search,19,3
Ternary Search,71,3
Ternary Search,82,7
Ternary Search,77,8
Ternary Search,28,7
Ternary Search,87,9
Ternary Search,33,9
Ternary Search,98,9
Ternary Search,58,5
Ternary Search,9,6
Ternary Search,32,8
Ternary Search,52,8
Ternary Search,56,2
Ternary Search,16,5
Ternary Search,5,5
Ternary Search,34,1
Ternary Search,27,5
Ternary Search,14,4
Ternary Search,26,7
Ternary Search,12,5
Ternary Search,69,8
Ternary Search,33,9
Ternary Search,40,7
Ternary Search,41,3
Ternary Search,81,4
Ternary Search,44,6
Ternary Search,74,5
Ternary Search,57,6
Ternary Search,62,6
Ternary Search,81,4
Ternary Search,28,7
Ternary Search,38,5
Ternary Search,81,4
Ternary Search,28,7
Ternary Search,23,7
Ternary Search,67,8
Ternary Search,70,9
Ternary Search,9,6
Ternary Search,39,6
Ternary Search,98,9
Ternary Search,39,6
Ternary Search,51,6
